Name,long,lat,feet
Ben Nevis ,-5.00352,56.79697,4409
Ben Macdui ,-3.6691,57.07042,4295
Braeriach ,-3.72885,57.07824,4252
Cairn Toul ,-3.71092,57.05432,4236
Sgor an Lochain Uaine ,-3.72595,57.05851,4127
Cairn Gorm ,-3.64394,57.11677,4085
Aonach Beag (Lochaber) ,-4.95479,56.80011,4049
Aonach Mor ,-4.96171,56.81307,4006
Carn Mor Dearg ,-4.98666,56.80537,4003
Ben Lawers ,-4.22095,56.54505,3983
Beinn a'Bhuird - North Top ,-3.49907,57.0875,3927
Carn Eige ,-5.11514,57.28781,3881
Beinn Mheadhoin ,-3.61182,57.09598,3878
Mam Sodhail ,-5.12027,57.27977,3875
Stob Choire Claurigh ,-4.84962,56.82387,3862
Ben More (Crianlarich) ,-4.54026,56.38631,3852
Ben Avon - Leabaidh an Daimh Bhuidhe ,-3.43483,57.0993,3842
Stob Binnein ,-4.53569,56.37112,3822
Beinn Bhrotain ,-3.72387,57.01003,3796
Derry Cairngorm ,-3.62226,57.06296,3789
Lochnagar - Cac Carn Beag ,-3.24546,56.96027,3789
Sgurr nan Ceathreamhnan ,-5.22283,57.25506,3776
Bidean nam Bian ,-5.02894,56.64292,3773
Sgurr na Lapaich ,-5.06016,57.36934,3773
Ben Alder ,-4.46508,56.81392,3766
Geal-charn (Loch Pattack) ,-4.50963,56.83801,3714
Creag Meagaidh ,-4.60199,56.95206,3707
Ben Lui ,-4.81066,56.397,3707
Binnein Mor ,-4.92584,56.75441,3707
An Riabhachan ,-5.10485,57.36266,3704
Ben Cruachan ,-5.13193,56.42677,3694
Beinn a'Ghlo - Carn nan Gabhar ,-3.68817,56.83989,3678
A'Chralaig ,-5.15492,57.18434,3674
Sgor Gaoith ,-3.81153,57.06853,3668
Meall Garbh (Lawers) ,-4.2083,56.56522,3668
An Stuc ,-4.21584,56.5605,3668
Aonach Beag (Badenoch) ,-4.529,56.83349,3661
Stob Coire an Laoigh ,-4.88486,56.81101,3661
Stob Coire Easain ,-4.77379,56.81812,3658
Monadh Mor ,-3.75003,57.02691,3652
Tom a'Choinich ,-5.04922,57.29958,3648
White Mounth - Carn a'Coire Bhaidheach ,-3.27244,56.94598,3642
Sgurr Mor (Fannichs) ,-5.01685,57.70015,3642
Sgurr nan Conbhairean ,-5.09527,57.17773,3638
Meall a'Bhuiridh ,-4.85223,56.61232,3635
Stob a'Choire Mheadhoin ,-4.7601,56.82364,3625
Beinn Ghlas ,-4.23731,56.53559,3619
Beinn Eibhinn ,-4.54489,56.82616,3615
Mullach Fraoch-choire ,-5.15573,57.20554,3615
Creise ,-4.87212,56.61446,3609
Sgurr a'Mhaim ,-5.00369,56.75608,3606
Sgurr Choinnich Mor ,-4.90437,56.80058,3589
Sgurr nan Clach Geala ,-5.0481,57.69643,3586
Bynack More ,-3.58505,57.13783,3576
Stob Ghabhar ,-4.8823,56.5683,3576
Beinn a'Chlachair ,-4.50945,56.86966,3566
Beinn Dearg (Ross-shire) ,-4.92932,57.78651,3556
Schiehallion ,-4.10018,56.66712,3553
Sgurr a'Choire Ghlais ,-4.90303,57.44397,3553
Beinn a'Chaorainn (Cairngorms) ,-3.5777,57.09326,3550
Beinn a'Chreachain ,-4.64777,56.56013,3547
Beinn Heasgarnich ,-4.57944,56.51034,3537
Ben Starav ,-5.05008,56.53893,3537
Beinn Dorain ,-4.72197,56.50316,3530
Stob Coire Sgreamhach ,-5.0103,56.63825,3517
Braigh Coire Chruinn-bhalgain ,-3.72957,56.83113,3510
Meall Corranaich ,-4.25357,56.54104,3507
An Socach (Glen Cannich) ,-5.15868,57.35027,3507
Glas Maol ,-3.36824,56.87318,3504
Sgurr Fhuaran ,-5.34771,57.19641,3501
Cairn of Claise ,-3.33881,56.89425,3491
An Teallach - Bidein a'Ghlas Thuill ,-5.25194,57.80729,3484
An Teallach - Sgurr Fiona ,-5.25961,57.8009,3478
Na Gruagaichean ,-4.93989,56.74375,3461
Liathach - Spidean a'Choire Leith ,-5.46341,57.56436,3461
Stob Poite Coire Ardair ,-4.5854,56.96426,3455
Toll Creagach ,-4.99937,57.30941,3455
Sgurr a'Chaorachain ,-5.18934,57.45258,3455
Glas Tulaichean ,-3.55827,56.86584,3448
Beinn a'Chaorainn (Glen Spean) ,-4.65277,56.92366,3445
Geal Charn (Loch Laggan) ,-4.45731,56.89783,3442
Sgurr Fhuar-thuill ,-4.94202,57.4499,3442
Carn an t-Sagairt Mor ,-3.30291,56.94307,3435
Creag Mhor (Glen Lochay) ,-4.61442,56.48956,3435
Cruach Ardrain ,-4.57617,56.35672,3432
Chno Dearg ,-4.66122,56.82992,3432
Ben Wyvis - Glas Leathad Mor ,-4.57907,57.67902,3432
Beinn Iutharn Mhor ,-3.56834,56.89491,3428
Stob Coir'an Albannaich ,-4.98038,56.55474,3425
Meall nan Tarmachan ,-4.30138,56.52192,3425
Carn Mairg ,-4.14582,56.63462,3419
Sgurr na Ciche ,-5.45666,57.01365,3412
Meall Ghaordaidh ,-4.41675,56.52593,3409
Beinn Achaladair ,-4.69486,56.55165,3405
Carn a'Mhaim ,-3.6587,57.03696,3402
Sgurr a'Bhealaich Dheirg ,-5.25251,57.1778,3399
Gleouraich ,-5.238,57.09709,3396
Carn Dearg (Loch Pattack) ,-4.45485,56.85537,3392
Am Bodach ,-4.98325,56.74182,3386
Beinn Fhada ,-5.28351,57.22121,3386
Carn an Righ ,-3.59547,56.8766,3376
Ben Oss ,-4.77526,56.38945,3376
Carn Gorm ,-4.22685,56.62321,3373
Sgurr a'Mhaoraich ,-5.33062,57.10598,3369
Sgurr na Ciste Duibhe ,-5.33723,57.18123,3369
Ben Challum ,-4.61979,56.45432,3363
Beinn a'Bheithir - Sgorr Dhearg ,-5.17149,56.65401,3360
Liathach - Mullach an Rathain ,-5.49236,57.56096,3356
Buachaille Etive Mor - Stob Dearg ,-4.90047,56.64617,3353
Aonach air Chrith ,-5.22139,57.12458,3350
Ladhar Bheinn ,-5.59219,57.08426,3346
Beinn Bheoil ,-4.43095,56.81315,3343
Carn an Tuirc ,-3.35754,56.90825,3343
Mullach Clach a'Bhlair ,-3.84106,57.01195,3343
Mullach Coire Mhic Fhearchair ,-5.27116,57.70901,3343
Garbh Chioch Mhor ,-5.44401,57.0087,3323
Cairn Bannoch ,-3.27839,56.92777,3320
Beinn Udlamain ,-4.32977,56.83557,3317
Beinn Ime ,-4.81713,56.23659,3317
Sgurr an Doire Leathain ,-5.28165,57.13685,3314
The Saddle ,-5.41672,57.16191,3314
Beinn Eighe - Ruadh-stac Mor ,-5.42956,57.59395,3314
Sgurr Eilde Mor ,-4.89556,56.7501,3314
Beinn Dearg (Atholl) ,-3.88384,56.87734,3307
Maoile Lunndaidh ,-5.11084,57.46471,3304
An Sgarsoch ,-3.75429,56.93196,3300
Carn Liath (Loch Laggan) ,-4.51533,56.97908,3300
Beinn Fhionnlaidh (Glen Cannich) ,-5.12998,57.30622,3297
Beinn an Dothaidh ,-4.71398,56.53012,3294
The Devil's Point ,-3.68914,57.03584,3294
Sgurr an Lochain ,-5.2976,57.14146,3294
Sgurr Mor (Loch Quoich) ,-5.35419,57.02858,3291
Sail Chaorainn ,-5.09116,57.19186,3287
Sgurr na Carnach ,-5.34921,57.18918,3287
Aonach Meadhoin ,-5.22894,57.17327,3284
Meall Greigh ,-4.15944,56.56761,3284
Beinn a'Bheithir - Sgorr Dhonuill ,-5.19846,56.65063,3284
Stob Ban (Mamores) ,-5.03051,56.74374,3278
Sgurr Choinnich ,-5.20822,57.45104,3278
Sgurr Breac ,-5.09155,57.69213,3278
Broad Cairn ,-3.24935,56.91926,3274
Stob Diamh ,-5.09159,56.43139,3274
Ben More Assynt ,-4.85861,58.13844,3274
Glas Bheinn Mhor ,-5.00543,56.54218,3271
A'Chailleach (Fannichs) ,-5.12915,57.69409,3271
Spidean Mialach ,-5.19386,57.08897,3268
An Caisteal ,-4.62447,56.33863,3264
Sgor na h-Ulaidh ,-5.0801,56.62,3261
Carn an Fhidhleir (Carn Ealar) ,-3.80167,56.93642,3261
Sgurr na Ruaidhe ,-4.85252,57.44171,3258
Beinn Eighe - Spidean Coire nan Clach ,-5.40524,57.58096,3258
Carn nan Gobhar (Glen Strathfarrar) ,-4.87969,57.45233,3255
Carn nan Gobhar (Glen Cannich) ,-5.02458,57.36355,3255
Sgurr Alasdair ,-6.24061,57.2061,3255
Sgairneach Mhor ,-4.29787,56.82861,3251
Beinn Eunaich ,-5.02689,56.45024,3245
Sgurr Ban ,-5.26598,57.71866,3245
Conival ,-4.88372,58.1359,3238
Creag Leacach ,-3.38806,56.85464,3238
Druim Shionnach ,-5.18292,57.12691,3238
Gaor Bheinn (Gulvain) ,-5.28455,56.93631,3238
Sgurr Dearg - Inaccessible Pinnacle ,-6.23517,57.21357,3235
Lurg Mhor ,-5.22357,57.41333,3235
Beinn Alligin - Sgurr Mhor ,-5.57289,57.5907,3235
Ben Vorlich (Loch Earn) ,-4.21954,56.34278,3232
An Gearanach ,-4.9663,56.75922,3222
Mullach na Dheiragain ,-5.186,57.28378,3222
Creag Mhor (Glen Lyon) ,-4.1289,56.62088,3218
Stob Coire a'Chairn ,-4.96907,56.75079,3218
Maol Chinn-dearg ,-5.25242,57.1279,3218
Slioch ,-5.34742,57.66736,3218
Beinn a'Chochuill ,-5.06857,56.44976,3215
Cona' Mheall ,-4.90379,57.79124,3215
Stob Coire Sgriodain ,-4.69511,56.83162,3212
Ciste Dhubh ,-5.20937,57.1995,3212
Beinn Dubhchraig ,-4.74298,56.39124,3209
Meall nan Ceapraichean ,-4.93403,57.79889,3205
Stob Ban (Grey Corries) ,-4.84092,56.81076,3205
Carn a'Gheoidh ,-3.46636,56.87306,3199
Carn Liath (Beinn a'Ghlo) ,-3.74422,56.80776,3199
A'Mharconaich ,-4.2906,56.85715,3199
Stuc a'Chroin ,-4.23848,56.32914,3199
Ben Lomond ,-4.63318,56.19023,3195
Beinn Sgritheall ,-5.57957,57.15376,3195
Sgurr a'Ghreadaidh ,-6.23419,57.22673,3192
Meall Garbh (Glen Lyon) ,-4.20779,56.63739,3176
Aonach Eagach - Sgor nam Fiannaidh ,-5.03694,56.67949,3173
A'Mhaighdean ,-5.34689,57.71979,3173
Ben More (Mull) ,-6.01419,56.42466,3169
Sgurr na Banachdich - North Peak ,-6.24166,57.22099,3166
Sgurr nan Gillean ,-6.19173,57.24849,3163
Carn a'Chlamain ,-3.77952,56.86117,3159
Sgurr Thuilm ,-5.38939,56.93719,3159
Sgorr Ruadh ,-5.40742,57.49865,3156
Ben Klibreck - Meall nan Con ,-4.41115,58.23531,3153
Stuchd an Lochain ,-4.42229,56.57201,3150
Meall Glas ,-4.54718,56.456,3146
Beinn Fhionnlaidh (Appin) ,-5.10496,56.60113,3146
Buachaille Etive Beag - Stob Dubh ,-4.97081,56.63812,3143
Tolmount ,-3.2978,56.90475,3143
Bruach na Frithe ,-6.2108,57.24693,3143
Beinn nan Aighenan ,-5.01197,56.52001,3140
Tom Buidhe ,-3.29184,56.89385,3140
Carn Ghluasaid ,-5.06798,57.16591,3140
Sgurr nan Coireachan (Glen Finnan) ,-5.44879,56.93584,3136
Saileag ,-5.28112,57.18127,3136
Buachaille Etive Mor - Stob na Broige ,-4.95141,56.62986,3136
Sgor Gaibhre ,-4.54649,56.77247,3133
Beinn Liath Mhor Fannaich ,-4.98948,57.7061,3130
Am Faochagach ,-4.8538,57.77206,3130
Sgurr nan Coireachan (Glen Dessarry) ,-5.40567,57.0075,3127
Beinn Mhanach ,-4.64678,56.53436,3127
Meall Dearg ,-5.00325,56.68084,3127
Meall Chuaich ,-4.11275,56.96408,3120
Meall Gorm ,-4.98439,57.68106,3113
Beinn Bhuidhe ,-4.90676,56.32674,3110
Sgurr Mhic Choinnich ,-6.22388,57.20909,3110
Driesh ,-3.19648,56.84818,3107
Creag a'Mhaim ,-5.16028,57.1211,3107
Beinn Tulaichean ,-4.56305,56.34207,3104
Carn Bhac ,-3.56113,56.93049,3104
Meall Buidhe (Knoydart) ,-5.54639,57.03172,3104
Stob a'Choire Odhair ,-4.83856,56.57344,3100
Bidein a'Choire Sheasgaich ,-5.25031,57.41993,3100
Carn Dearg (Monadh Liath) ,-4.25375,57.09236,3100
Sgurr na Sgine ,-5.39719,57.14734,3100
An Socach (Glen Ey) - West Summit ,-3.51232,56.90217,3097
Sgurr Dubh Mor ,-6.21198,57.205,3097
Ben Vorlich (Loch Lomond) ,-4.75493,56.27395,3094
Binnein Beag ,-4.91111,56.76716,3094
Carn na Caim ,-4.17451,56.91162,3087
Carn Dearg (Loch Ossian) ,-4.59018,56.76033,3087
Beinn a'Chroin ,-4.5993,56.33251,3084
Mullach nan Coirean ,-5.0724,56.7499,3081
Mount Keen ,-2.97338,56.96987,3081
Luinne Bheinn ,-5.5159,57.04939,3081
Beinn Sgulaird ,-5.17079,56.56602,3074
Beinn na Lap ,-4.65998,56.78933,3074
Beinn Tarsuinn ,-5.29203,57.70209,3074
A'Bhuidheanach Bheag ,-4.1987,56.87048,3071
Sron a'Choire Ghairbh ,-4.92875,57.00782,3068
Meall a'Chrasgaidh ,-5.0488,57.71269,3064
Am Basteir ,-6.20312,57.24802,3064
Beinn Chabhair ,-4.64154,56.32577,3061
The Cairnwell ,-3.421,56.87979,3061
Maol Chean-dearg ,-5.46486,57.49159,3061
Fionn Bheinn ,-5.10241,57.61116,3061
Meall Buidhe (Glen Lyon) ,-4.44897,56.61706,3058
Ben Chonzie ,-3.99216,56.45386,3054
Beinn Bhreac ,-3.55382,57.05511,3054
A'Chailleach (Monadh Liath) ,-4.17916,57.10968,3051
Meall nan Eun ,-4.94329,56.5612,3045
Mayar ,-3.24603,56.84931,3045
Moruisg ,-5.16997,57.50036,3045
Bla Bheinn (Blaven) ,-6.0933,57.21965,3045
Eididh nan Clach Geala ,-4.93438,57.81353,3045
Ben Hope ,-4.60807,58.4134,3041
Seana Bhraigh ,-4.89717,57.8472,3041
Meall a'Choire Leith ,-4.25965,56.56654,3038
Geal Charn (Monadh Liath) ,-4.3737,57.05779,3038
Beinn Narnain ,-4.78887,56.22087,3038
Beinn Liath Mhor ,-5.40016,57.51215,3038
Buachille Etive Beag - Stob Coire Raineach ,-4.95168,56.64999,3035
Creag Pitridh ,-4.48502,56.8997,3031
Sgurr nan Eag ,-6.21127,57.19585,3031
Sgurr nan Each ,-5.04647,57.68101,3028
An Coileachan ,-4.94974,57.66758,3028
Beinn Alligin - Tom na Gruagaich ,-5.5821,57.58054,3025
Sgiath Chuil ,-4.49575,56.45381,3022
An Socach (Glen Afric) ,-5.17147,57.25763,3022
Carn Sgulain ,-4.17593,57.125,3018
Gairich ,-5.25754,57.04499,3015
Ruadh Stac Mor ,-5.32957,57.72689,3012
Sgurr a'Mhadaidh - Southwest Peak ,-6.23221,57.23111,3012
A'Ghlas-bheinn ,-5.30392,57.25493,3012
Creag nan Damh ,-5.33468,57.1474,3012
Meall na Teanga ,-4.93073,56.98908,3008
Carn Aosda ,-3.42296,56.89683,3008
Geal-charn (Drumochter) ,-4.30447,56.87468,3008
Beinn a'Chleibh ,-4.83561,56.39032,3005
Ben Vane ,-4.78162,56.24997,3005
Beinn Teallach ,-4.69475,56.93607,3002
